,Document ID,#FRAGMENT_SUPPRESSED,#REFERENCE_SUPPRESSED,#CITATION_SUPPRESSED,#Golden_Citations,Difference
0,006769.txt,22,0,0,5,17
1,073526.txt,14,0,0,4,10
2,040011.txt,0,12,6,4,8
3,096695.txt,13,0,0,2,11
4,051097.txt,0,11,4,7,4
5,084496.txt,22,0,0,1,21
6,016618.txt,33,0,0,12,21
7,052617.txt,9,0,0,2,7
8,071236.txt,9,0,0,1,8
9,017701.txt,0,15,4,5,10
10,069049.txt,29,0,0,10,19
11,049802.txt,0,4,1,1,3
12,000031.txt,0,15,14,9,6
13,080578.txt,14,0,0,4,10
14,083142.txt,0,12,4,3,9
15,027316.txt,0,13,33,14,-1
16,069675.txt,22,0,0,4,18
17,036162.txt,13,0,0,3,10
18,028914.txt,18,0,0,7,11
19,035213.txt,44,0,0,17,27
20,045061.txt,0,5,2,7,-2
21,081675.txt,21,0,0,10,11
22,074438.txt,18,0,0,3,15
23,040417.txt,0,6,7,9,-3
24,092806.txt,4,0,0,3,1
25,069872.txt,9,0,0,1,8
26,006434.txt,7,0,0,2,5
27,098226.txt,16,0,0,8,8
28,031301.txt,4,0,0,1,3
29,082829.txt,17,0,0,5,12
30,075589.txt,8,0,0,3,5
31,086406.txt,11,0,0,5,6
32,021818.txt,0,7,7,3,4
33,014176.txt,17,0,0,2,15
34,085841.txt,29,0,0,9,20
35,080552.txt,11,0,0,2,9
36,028250.txt,10,0,0,1,9
37,023107.txt,0,9,6,3,6
38,096068.txt,16,0,0,2,14
39,055858.txt,0,12,6,4,8
40,029988.txt,24,0,0,8,16
41,025322.txt,18,0,0,3,15
42,081919.txt,6,0,0,3,3
43,060380.txt,25,0,0,2,23
44,024341.txt,0,18,5,2,16
45,075527.txt,33,0,0,8,25
46,025169.txt,7,0,0,3,4
47,024481.txt,25,0,0,7,18
48,060493.txt,28,0,0,4,24
49,084163.txt,12,0,0,1,11
50,011121.txt,38,0,0,17,21
51,093057.txt,11,0,0,1,10
52,094902.txt,17,0,0,4,13
53,020090.txt,0,16,7,6,10
54,018452.txt,13,0,0,1,12
55,055693.txt,8,0,0,1,7
56,024409.txt,22,0,0,1,21
57,075046.txt,4,0,0,1,3
58,066347.txt,9,0,0,3,6
59,074125.txt,0,3,0,1,2
60,056962.txt,5,0,0,10,-5
61,078211.txt,8,0,0,1,7
62,073494.txt,19,0,0,18,1
63,000393.txt,25,0,0,2,23
64,005830.txt,5,0,0,1,4
65,090433.txt,0,8,2,3,5
66,067346.txt,0,7,3,1,6
67,087599.txt,5,0,0,3,2
68,010628.txt,0,4,14,2,2
69,079028.txt,47,0,0,6,41
70,013201.txt,16,0,0,1,15
71,031784.txt,0,29,25,5,24
72,066861.txt,0,14,1,7,7
73,067125.txt,25,0,0,8,17
74,066278.txt,0,20,21,19,1
75,002304.txt,46,0,0,3,43
76,053848.txt,22,0,0,9,13
77,026056.txt,11,0,0,6,5
78,018440.txt,5,0,0,2,3
79,085920.txt,0,22,11,6,16
80,076969.txt,32,0,0,7,25
81,023005.txt,4,0,0,1,3
82,093214.txt,0,5,12,2,3
83,084570.txt,0,27,22,6,21
84,065028.txt,32,0,0,8,24
85,003681.txt,0,18,6,1,17
86,091177.txt,5,0,0,1,4
87,057990.txt,0,9,10,3,6
88,071304.txt,33,0,0,4,29
89,025252.txt,0,1,3,1,0
90,015055.txt,0,7,1,9,-2
91,017675.txt,8,0,0,3,5
92,073000.txt,0,29,28,22,7
93,035994.txt,0,5,8,3,2
94,014652.txt,14,0,0,10,4
95,005409.txt,21,0,0,3,18
96,016058.txt,11,0,0,4,7
97,057473.txt,20,0,0,3,17
98,023731.txt,0,4,6,1,3
99,040694.txt,11,0,0,4,7
100,027864.txt,11,0,0,12,-1
101,091031.txt,51,0,0,3,48
102,050332.txt,12,0,0,13,-1
103,096228.txt,20,0,0,3,17
104,092224.txt,31,0,0,4,27
105,076640.txt,0,120,216,3,117
106,045846.txt,0,3,1,2,1
107,055546.txt,25,0,0,1,24
108,064109.txt,11,0,0,3,8
109,019591.txt,30,0,0,5,25
110,081163.txt,0,11,13,1,10
111,079208.txt,22,0,0,7,15
112,022185.txt,13,0,0,2,11
113,051749.txt,12,0,0,3,9
114,005267.txt,0,14,15,1,13
115,000755.txt,5,0,0,2,3
116,056963.txt,7,0,0,2,5
117,035777.txt,16,0,0,5,11
118,006307.txt,0,4,2,4,0
119,039301.txt,0,11,5,9,2
120,049784.txt,0,9,3,3,6
121,021601.txt,0,19,5,8,11
122,002785.txt,7,0,0,6,1
123,005768.txt,0,4,1,2,2
124,097926.txt,17,0,0,8,9
125,093558.txt,8,0,0,4,4
126,034867.txt,20,0,0,6,14
127,015020.txt,26,0,0,14,12
128,041233.txt,8,0,0,3,5
129,079235.txt,17,0,0,10,7
130,006766.txt,0,24,15,1,23
131,030315.txt,0,4,3,2,2
132,043608.txt,0,6,0,3,3
133,052170.txt,24,0,0,10,14
134,024648.txt,3,0,0,3,0
135,040801.txt,2,0,0,1,1
136,085230.txt,17,0,0,8,9
137,068986.txt,15,0,0,1,14
138,073640.txt,10,0,0,4,6
139,032353.txt,0,11,7,2,9
140,092690.txt,0,14,7,6,8
